 ,pH,BOD5,SS,VSS,TS,VTS,TKN,NH3-N,NO2-N + NO3-N,P-TOT,P-SOL,Flow,,,,,,,,,,
30-Jul-16,7.6,62,76,42,590,148,10,5.5,0.81,2.62,1.36,371,,,,,,,,,,
31-Jul-16,7.7,      T/X,90,70,696,154,13,7.9,     <0.15,2.32,0.99,326,,,,,,,,,,
1-Aug-16,7.6,92,72,52,682,156,14,9.1,     <0.15,2.93,1.52,299,,,,,,,,,,
2-Aug-16,7.4,57,80,62,750,168,15,9.7,     <0.15,3.05,1.85,280,,,,,,,,,,
3-Aug-16,7.5,      T/X,66,52,672,162,16,10.3,     <0.15,3.22,1.80,290,,,,,,,,,,
4-Aug-16,7.3,108,92,60,774,178,19,12.3,     <0.15,5.29,3.83,294,,,,,,,,,,
5-Aug-16,7.4,134,144,120,782,242,21,11.8,     <0.15,5.48,3.19,286,,,,,,,,,,
6-Aug-16,7.4,158,130,104,754,234,20,11.7,     <0.15,6.51,4.31,282,,,,,,,,,,
7-Aug-16,7.4,118,142,110,718,226,20,10.8,     <0.15,4.92,3.01,272,,,,,,,,,,
8-Aug-16,7.6,83,122,66,634,176,15,9.5,     <0.15,3.02,1.02,163,,,,,,,,,,
9-Aug-16,7.5,99,102,92,810,222,26,17.3,     <0.15,5.91,4.04,148,,,,,,,,,,
10-Aug-16,7.4,175,208,160,930,294,30,17.8,     <0.15,7.20,4.40,149,,,,,,,,,,
11-Aug-16,7.4,205,320,280,1006,346,39,18.2,     <0.15,10.29,5.51,156,,,,,,,,,,
12-Aug-16,7.4,242,510,350,1127,458,35,12.6,     <0.15,9.74,4.10,272,,,,,,,,,,
13-Aug-16,7.4,167,350,210,800,292,24,6.2,0.74,6.92,1.49,383,,,,,,,,,,
14-Aug-16,7.6,121,248,176,796,228,20,8.3,0.33,4.58,1.23,325,,,,,,,,,,
15-Aug-16,7.6,      T/X,150,106,740,242,18,8.9,     <0.15,3.43,1.20,347,,,,,,,,,,
16-Aug-16,7.5,108,376,248,672,244,16,7.4,     <0.15,3.90,1.54,367,,,,,,,,,,
17-Aug-16,7.5,      T/X,180,138,810,228,20,10.2,     <0.15,4.24,1.80,373,,,,,,,,,,
18-Aug-16,7.5,      T/X,178,112,738,202,18,9.5,     <0.15,4.00,1.71,343,,,,,,,,,,
19-Aug-16,7.6,84,128,104,670,154,16,10.2,     <0.15,2.76,1.33,355,,,,,,,,,,
20-Aug-16,7.5,51,50,38,558,106,13,8.5,     <0.15,2.02,0.98,402,,,,,,,,,,
21-Aug-16,7.7,41,64,50,620,110,10,6.1,1.08,1.28,0.57,329,,,,,,,,,,
22-Aug-16,7.6,66,90,68,762,202,14,8.8,     <0.15,2.77,1.46,301,,,,,,,,,,
23-Aug-16,7.5,      T/X,114,76,790,214,16,10.2,     <0.15,3.76,2.45,323,,,,,,,,,,
24-Aug-16,7.5,      T/X,108,80,796,228,18,10.4,     <0.15,3.61,1.78,338,,,,,,,,,,
25-Aug-16,7.5,      T/X,86,64,684,168,16,9.5,     <0.15,3.23,2.06,323,,,,,,,,,,
26-Aug-16,7.4,      T/X,72,52,694,156,16,10.2,     <0.15,2.96,1.66,353,,,,,,,,,,
27-Aug-16,7.4,83,184,124,620,218,14,6.4,     <0.15,3.05,1.11,383,,,,,,,,,,
28-Aug-16,7.7,38,49,37,626,122,10,5.9,0.17,1.44,0.65,306,,,,,,,,,,
29-Aug-16,7.5,60,80,60,760,182,16,10.2,     <0.15,3.56,2.06,269,,,,,,,,,,
30-Aug-16,7.5,      T/X,146,110,768,226,18,10.0,     <0.15,4.60,2.89,310,,,,,,,,,,
31-Aug-16,7.4,      T/X,176,140,774,190,20,11.2,     <0.15,5.10,2.43,312,,,,,,,,,,
1-Sep-16,7.5,      T/X,102,76,682,158,17,10.6,     <0.15,3.77,2.14,294,,,,,,,,,,
2-Sep-16,7.5,105,122,94,700,206,19,10.6,     <0.15,3.70,1.86,289,,,,,,,,,,
3-Sep-16,7.6,89,120,84,688,198,18,11.3,     <0.15,4.68,2.95,281,,,,,,,,,,
